date,sentiment_score
2022-12-04,0.057866424
2022-12-03,-0.82305205
2022-12-02,-0.19953158
2022-12-01,-0.6209721
2022-11-30,-0.6948635
2022-11-29,-0.6306278
2022-11-28,-0.8251492
2022-11-27,-0.54575026
2022-11-26,-0.53147143
2022-11-25,-0.78897965
2022-11-24,-0.9693559
2022-11-23,-0.68659544
2022-11-22,-0.86132413
2022-11-21,-0.6415331
2022-11-20,-0.626287
2022-11-19,-0.4811511
2022-11-18,-0.6606175
2022-11-17,-0.8478128
2022-11-16,-0.89930284
2022-11-15,-0.8924239
2022-11-14,-0.5419877
2022-11-13,-0.44453534
2022-11-12,-0.42829865
2022-11-11,-0.5178728
2022-11-10,-0.5103454
2022-11-09,-0.49506634
2022-11-08,-0.89502776
2022-11-07,0.09760578
2022-11-06,-0.38754132
2022-11-05,-0.61896765
2022-11-04,-0.9752202
2022-11-03,-0.5346565
2022-11-02,-0.5072892
2022-11-01,-0.79504234
2022-10-31,-0.5023263
2022-10-30,-0.45897618
2022-10-29,-0.6154212
2022-10-28,-0.32640594
2022-10-27,-0.3335182
2022-10-26,-0.43186918
2022-10-25,-0.89441407
2022-10-24,-0.565313
2022-10-23,-0.69410014
2022-10-22,-0.69804645
2022-10-21,-0.64903265
2022-10-20,-0.9953395
2022-10-19,-0.81298524
2022-10-18,-0.12112339
2022-10-17,-0.5996914
2022-10-16,-0.7739603
2022-10-15,-0.5419867
2022-10-14,-0.5526984
2022-10-13,-0.9964177
2022-10-12,-0.7976734
2022-10-11,-0.7013446
2022-10-10,-0.8810228
2022-10-09,-0.69753706
2022-10-08,-0.44395813
2022-10-07,-0.40693775
2022-10-06,-0.9847266
2022-10-05,-0.6011275
2022-10-04,-0.67890346
2022-10-03,-0.7194865
2022-10-02,-0.5534176
2022-10-01,-0.37391287
2022-09-30,-0.7897375
2022-09-29,-0.5147766
2022-09-28,-0.46920356
2022-09-27,-0.34971315
2022-09-26,-0.3760434
2022-09-25,-0.98069906
2022-09-24,-0.87467843
2022-09-23,-0.8452815
2022-09-22,-0.70304954
2022-09-21,-0.46119565
2022-09-20,-0.8280524
2022-09-19,-0.7966769
2022-09-18,-0.99883014
2022-09-17,-0.8002815
2022-09-16,-0.82592297
2022-09-15,-0.62573206
2022-09-14,-0.7516238
2022-09-13,-0.59772974
2022-09-12,-0.70068634
2022-09-11,-0.88316774
2022-09-10,-0.39982575
2022-09-09,-0.08230084
2022-09-08,-0.7864822
2022-09-07,-0.8568444
2022-09-06,-0.9345363
2022-09-05,-0.6414059
2022-09-04,-0.8150182
2022-09-03,-0.71612316
2022-09-02,-0.79057467
2022-09-01,-0.5632817
2022-08-31,-0.7721199
2022-08-30,-0.8191107
2022-08-29,-0.67319345
2022-08-28,-0.6416812
2022-08-27,-0.5391038
2022-08-26,-0.4984726
2022-08-25,-0.67124724
2022-08-24,-0.81835204
2022-08-23,-0.26516455
2022-08-22,-0.38657126
2022-08-21,-0.99157363
2022-08-20,-0.49989963
2022-08-19,-0.8990873
2022-08-18,-0.68313557
2022-08-17,-0.65967804
2022-08-16,-0.24326956
2022-08-15,-0.7238229
2022-08-14,-0.67401975
2022-08-13,-0.45610824
2022-08-12,-0.45204797
2022-08-11,-0.8754467
2022-08-10,-0.51006
2022-08-09,-0.2884694
2022-08-08,-0.6928244
2022-08-07,-0.550784
2022-08-06,-0.19209833
2022-08-05,-0.56774414
2022-08-04,-0.7417301
2022-08-03,-0.27292415
2022-08-02,-0.011081319
2022-08-01,-0.74907696
2022-07-31,-0.59919226
2022-07-30,-0.79995286
2022-07-29,-0.29313335
2022-07-28,-0.40165687
2022-07-27,-0.6448883
2022-07-26,-0.98915195
2022-07-25,-0.89345026
2022-07-24,-0.86557925
2022-07-23,-0.7042117
2022-07-22,-0.62509227
2022-07-21,-0.7557127
2022-07-20,-0.615953
2022-07-19,-0.62891805
2022-07-18,-0.29217637
2022-07-17,-0.94503164
2022-07-16,-0.7928692
2022-07-15,-0.5956772
2022-07-14,-0.78432524
2022-07-13,-0.44976932
2022-07-12,-0.4056789
2022-07-11,-0.592214
2022-07-10,-0.7606043
2022-07-09,-0.8431164
2022-07-08,-0.558442
2022-07-07,-0.57207054
2022-07-06,-0.5845272
2022-07-05,-0.7834557
2022-07-04,-0.7039725
2022-07-03,-0.7586688
2022-07-02,-0.792976
2022-07-01,-0.6315067
2022-06-30,-0.79776204
2022-06-29,-0.4951477
2022-06-28,-0.30144387
2022-06-27,-0.77434933
2022-06-26,-0.72608435
2022-06-25,-0.48486987
2022-06-24,-0.99888074
2022-06-23,-0.7872657
2022-06-22,-0.851769
2022-06-21,-0.643592
2022-06-20,-0.6665119
2022-06-19,-0.9955546
2022-06-18,-0.7981389
2022-06-17,-0.76349264
2022-06-16,-0.5858606
2022-06-15,-0.61621475
2022-06-14,-0.50396895
2022-06-13,-0.9060497
2022-06-12,-0.32412988
2022-06-11,-0.5522671
2022-06-10,-0.9230382
2022-06-09,-0.7775145
2022-06-08,-0.60042393
2022-06-07,-0.79673254
2022-06-06,-0.9902822
2022-06-05,-0.79966515
2022-06-04,-0.40343747
2022-06-03,-0.65627867
2022-06-02,-0.7630097
2022-06-01,-0.79387915
2022-05-31,-0.80420506
2022-05-30,-0.37894255
2022-05-29,-0.7626986
2022-05-28,-0.99053067
2022-05-27,-0.5377489
